Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,60,kodim20.png,0.70465087890625,34.13815680817967,0.9825512766838074,0.20834685862064362,34.059419662191424,1152.0,33.8232421875
Kodak,JPEG,70,kodim20.png,0.8367106119791666,35.061694324465435,0.9854954481124878,0.1843268871307373,28.68375237076302,1152.0,40.162109375
Kodak,JPEG,80,kodim20.png,1.05841064453125,36.410020566460716,0.9889122843742371,0.15199077129364014,22.67550890952079,1152.0,50.8037109375
Kodak,JPEG,90,kodim20.png,1.6030680338541667,38.817923290644,0.992362380027771,0.10333634912967682,14.971292230372871,1152.0,76.947265625
Kodak,JPEG,10,kodim21.png,0.33544921875,26.141856136597138,0.8943678736686707,0.5334096550941467,71.54585152838428,1152.0,16.1015625
Kodak,JPEG,20,kodim21.png,0.5097452799479166,28.54775243852895,0.9484061002731323,0.4116347134113312,47.08233885452005,1152.0,24.4677734375
Kodak,JPEG,30,kodim21.png,0.6466878255208334,29.780790048432472,0.9626399278640747,0.35752415657043457,37.11218775561568,1152.0,31.041015625
Kodak,JPEG,40,kodim21.png,0.7632242838541666,30.666000127604995,0.9714326858520508,0.3138194978237152,31.445540331609532,1152.0,36.634765625
Kodak,JPEG,50,kodim21.png,0.8730265299479166,31.41347749773839,0.9765833616256714,0.2788957953453064,27.490573512619143,1152.0,41.9052734375
Kodak,JPEG,60,kodim21.png,0.9973551432291666,32.14276285578306,0.9795643091201782,0.255976140499115,24.063644894129165,1152.0,47.873046875
Kodak,JPEG,70,kodim21.png,1.19873046875,33.166996632744514,0.9836161136627197,0.2174607217311859,20.021181262729126,1152.0,57.5390625
